nn_parameters_nonrobustiToffoli,nn_parameters_OuterX,nn_parameters_middleX,nn_parameters_robustiToffoli,nn_parameters_robustiCZ
0.1369339958,-0.06441173099,-0.2121146902,-0.1300791279,0.64813584
-0.4951910078,0.16699791,0.1108122952,0.08866090487,0.1895029
0.4406942501,-0.02663307672,-0.06334486276,-1.087740683,-0.04750681
-0.2606744737,0.03909651296,-0.1700792851,0.270782407,0.96851975
-0.01353747335,-0.255662991,0.2057785325,0.08734591948,0.052466623
0.07215629764,0.1929580879,-0.06471733327,0.841606204,-0.16814148
0.8108841909,-0.3105466902,0.04473022243,-0.6585850693,0.22264165
0.8760857894,-0.2655093264,0.08800228411,-1.297177704,0.5172066
-0.6146255488,0.07928804495,0.2300496835,-0.805586497,-0.018238459
0.7131348055,-0.09717744619,-0.3304850953,-0.2026928769,-0.0676699
0.6421597595,-0.07707584582,-0.3836396926,1.162198441,0.41830742
0.276142837,-0.08655509278,-1.199111205,-0.005270882576,0.0731926
0.4010386204,-0.1647113028,0.3488595565,-0.01663338689,-0.01934826
0.5824279086,-0.1596462986,-0.1791807546,-0.04005454762,0.02664152
1.188000106,-0.05628605904,-0.6343926277,0.7641321154,-0.08470444
0.7261928684,0.09215437811,-0.4071394246,-0.1530563549,-0.077762514
1.073795467,0.1674592059,-0.2235107336,-0.4012085892,-0.17655727
0.02677066903,-0.1624575283,-0.2358223285,-0.4468570612,-0.007790047
-0.4322718064,0.1401272375,0.2160022467,0.2074395367,0.23122814
0.2382410536,0.2343109299,0.04543093618,-0.4742966533,-5.5571585
0.6053782235,-0.1682189228,0.2293058844,0.1346003202,0.10241739
0.4936236571,-0.0687927516,0.07003229572,0.9527357969,-0.0383194
0.6695734979,-0.0373262437,-0.0120087205,0.2001665434,-0.4902905
-0.6006220051,0.1803447395,-0.3798035647,0.51362242,-0.18225764
-0.6270897969,0.04457462676,0.1499216308,-0.8887459382,0.4150111
0.3187524252,-0.2835541921,-0.3242726058,-0.6785139839,0.15556778
0.674218896,0.1566461708,-0.200187691,0.5809192663,0.09608574
0.309487227,-0.2061244696,-0.2312847863,0.8013603741,-0.35806993
0.4588968619,0.1697724544,-0.4391512015,0.8188183788,-0.26033694
-0.5934177651,-0.2125135843,-0.03588546799,0.4264617702,-0.22810788
-0.3140365025,0.03136784255,-0.3577883828,0.6822589362,-0.1572984
-0.4100304109,0.01845495034,0.4464252526,-0.03159176782,-0.4038009
-0.1318168342,0.2190845149,-0.4527571725,-0.207369961,-0.29597786
-0.3404186457,-0.1349074145,-0.1178096922,-0.1309916555,0.26879555
0.3150297051,-0.06036248972,0.4572618876,0.3537685927,-0.28472567
0.03440976692,0.07360327834,0.03800634706,0.08687679036,0.5400381
0.2794247861,-0.07006823977,-0.07341978924,0.09708737699,-0.11380958
0.2203566851,0.00273736639,-0.2684058096,0.05450302969,-0.26181945
0.2459250417,0.1728045926,0.01769231579,0.2191009196,-0.25838858
0.3682477895,-0.08543704019,-0.004329809902,0.2943079233,0.19110975
-0.04687638099,0.08104646808,0.02614424195,0.1487922638,0.49130234
0.01797567558,0.1977542407,0.1071536846,-0.0197195835,0.23477493
0.2596298265,-0.1781920751,0.1538852023,-0.3256683149,0.11131634
0.3747165206,0.237884242,-1.536100498,-0.07802100681,0.102780126
0.0263395656,-0.1103660321,0.4379560361,0.2584088085,0.17086662
0.2252968928,0.01674380308,-0.0177707825,0.1687375041,-0.53042495
0.410839989,-0.03304386363,-0.1919595853,0.1726757925,0.3500387
0.05539955675,0.1243957909,-0.296613693,0.096354304,0.19328843
0.3600038237,0.07495963777,-0.02698805622,-0.1583634503,-0.3612332
0.2311232674,0.1988438798,-0.3030126784,-0.2337275569,0.0039177467
0.01049014294,0.2913953871,0.1314685769,0.03267479695,0.15404926
0.26140289,0.3330959251,-0.1116915987,-0.01736387602,4.2738276
-0.1080217843,-0.2109890677,0.1326652148,-0.1372726087,0.04513125
0.2803625123,0.1617942671,0.2094588448,-0.08615839199,-0.32518452
0.2016285757,0.09000776604,0.4866714999,0.04492544369,-0.17055695
-0.03519486707,0.1002101295,-0.3028639193,-0.0508447873,0.43788022
0.1660676072,0.07983838151,0.1432566791,0.06915676518,0.06890045
-0.1454955741,0.04864440985,0.03800515058,-0.05417116771,-0.047091976
0.4500805556,-0.05278345321,0.1988844432,0.05156369375,-0.035643727
0.3428167521,-0.2384356148,0.258322845,0.07360740054,0.15063868
0.266522539,-0.2881732532,-0.4984237548,-0.3575731711,0.023063362
-0.2623524685,0.2539297633,-0.2949342218,0.0791943124,-0.26918483
0.1798948377,0.06300775785,-0.03648229282,-0.1156102806,0.09912001
-0.08031625444,0.1820782311,0.02177427813,0.2780266947,0.526227
-0.3158087091,-0.1116698444,0.1126866274,-0.08980938036,-0.1712136
-0.1940637165,-0.1870996917,0.16302742,-0.1350203669,0.17779516
0.1855092093,-0.02115266581,0.2100774806,0.1079878545,0.12914155
0.03206593251,-0.03260810719,0.3117333142,0.02476284574,-0.28599012
0.3347834796,0.02462333857,-0.2417319435,-0.03012407228,0.16628124
0.1787869443,0.1500306374,0.3613648227,-0.2935814717,0.30733252
-0.2342992022,-0.2962906457,-0.2603140452,0.2694296783,0.2516102
-0.124014625,0.1214329438,-0.1380694952,-0.02521417155,-0.2579076
-0.2301981634,0.1070465744,0.107019585,0.1816594294,0.08951128
0.2038067508,0.122882894,0.1481086553,0.1511314027,-0.16052513
-0.05348549265,0.207243709,-0.1065232997,0.105657874,0.32167688
0.1324292678,-0.06153421015,0.8175281949,-0.0445316374,-0.09444001
-0.04233645219,0.01192955476,-0.1584453056,0.1973713213,-0.24514715
-0.1974696522,0.237028084,0.3047128751,-0.2746710207,0.9300737
-0.5355532011,0.1485380488,-0.08229247631,-0.193769115,-0.45489028
0.3077652118,0.06408387358,-0.05124600229,0.002560570429,-0.12779477
-0.02906194947,-0.1529075754,0.06320293447,-0.1997731331,0.043298475
0.3958492416,-0.2040803771,0.06311770165,-0.2377937672,0.26507273
0.2399041697,-0.006105268132,-0.1947689787,0.123954028,-0.2468226
0.008089277256,-0.3373578284,-0.1262528795,0.2027262478,3.5845113
-0.05626543499,0.06718102338,-0.2578680388,0.05612253414,0.13550165
0.3108628902,-0.244534829,-0.3274572496,0.0003143356074,0.31456056
0.3955845516,-0.04539725133,-0.3770582691,0.2976655986,1.3460225
-0.311744572,0.1472589681,0.1018811419,-0.0914817412,0.08413279
0.1089579874,0.0588193636,0.08677476085,0.09933827862,0.23172191
-0.3096835388,0.05960992138,-0.140761987,-0.1073481192,-0.2125741
-0.1757093209,0.2541675651,0.1130208494,-0.1227791661,0.31872663
-0.05073891442,0.1005337976,0.1979539781,-0.32522373,0.18149722
-0.01853400895,0.1689705042,0.4066473094,0.2413248505,-0.21248291
-0.07864243382,-0.2592207736,0.09803426334,-0.2835495212,-0.19924186
-0.1955186817,-0.2018128882,0.1631658866,-0.3550682604,-0.20964183
-0.1104519129,-0.008871557835,-0.1625846051,-0.1781312254,0.12035586
0.2095750469,0.01280679401,-0.2267239828,-0.04212997526,-0.40577033
0.1800937768,0.233356776,0.2910403977,0.323201328,-0.15716809
0.06511407943,-0.1912082541,-0.2927328791,-0.7008055959,0.12675752
-0.07252794551,-0.09657730398,-0.2349239122,0.02979305904,0.1965129
0.07878754501,-0.04205575683,-0.1571815628,-0.1870923712,-0.07353843
0.1287773003,0.06514766544,0.1645834887,0.546989571,-0.2394192
-0.02878655329,0.1527205177,-0.1049552777,-0.09557749533,0.52014416
0.04646896309,0.2006756539,-0.1476126026,-0.8380466335,-0.58252513
0.02301842638,0.08029535763,0.163037081,-0.2801903009,-0.18870308
